,JANE
<eol> amount flesh,1.0
share age </eol>,1.0
christian winding ian,1.0
slater </eol>,1.0
give try </eol>,1.0
<eol> christian winding,1.0
go along </eol>,1.0
everyone go along,1.0
better everyone go,1.0
saying give try,1.0
staying house better,1.0
winding ian </eol>,1.0
<eol> <eol> hmmm,1.0
<eol> hmmm </eol>,1.0
hmmm </eol> </eol>,1.0
<eol> <eol> amount,1.0
<eol> saying give,1.0
cause end matter,1.0
tell lucy wait,1.0
<eol> great </eol>,1.0
um look got,1.0
boring old lesley,1.0
old lesley boring,1.0
lesley boring husband,1.0
anything supermarket </eol>,1.0
want anything supermarket,1.0
boring husband boring,1.0
husband boring kid,1.0
boring kid </eol>,1.0
<eol> um look,1.0
look got appointment,1.0
fat boring old,1.0
got appointment talk,1.0
school want anything,1.0
appointment talk ian,1.0
talk ian problem,1.0
ian problem give,1.0
bobby school want,1.0
u call </eol>,1.0
<eol> believe back,1.0
believe back </eol>,1.0
supermarket </eol> </eol>,1.0
stay fat boring,1.0
going pick bobby,1.0
thank ian </eol>,1.0
liked money </eol>,1.0
<eol> mean ian,1.0
<eol> yeah trying,1.0
mean ian love,1.0
ian love much,1.0
love much </eol>,1.0
<eol> want christian,1.0
want christian </eol>,1.0
oh well sure,1.0
well sure find,1.0
yeah well got,1.0
sure find somewhere,1.0
find somewhere always,1.0
got thank ian,1.0
somewhere always land,1.0
always land foot,1.0
well got thank,1.0
land foot want,1.0
foot want stay,1.0
want stay fat,1.0
pick bobby school,1.0
<eol> mind stay,1.0
stay yeah </eol>,1.0
may come bit,1.0
yeah course like,1.0
<eol> said,1.0
course like older,1.0
like older men,1.0
island war mainly,1.0
men anyone worried,1.0
anyone worried </eol>,1.0
<eol> ian may,1.0
ian may come,1.0
come bit surprise,1.0
hope homophobic ian,1.0
bit surprise everyone,1.0
surprise everyone cup,1.0
everyone cup tea,1.0
end matter done,1.0
cup tea certainly,1.0
tea certainly christian,1.0
certainly christian </eol>,1.0
<eol> course stay,1.0
course stay yeah,1.0
homophobic ian </eol>,1.0
hah hope homophobic,1.0
mind stay week,1.0
plenty room </eol>,1.0
stay week two,1.0
week two </eol>,1.0
ian going pick,1.0
two </eol> </eol>,1.0
<eol> big house,1.0
big house look,1.0
house look plenty,1.0
minute </eol>,1.0
look plenty room,1.0
<eol> stay rent,1.0
<eol> hah hope,1.0
stay rent free,1.0
rent free couple,1.0
<eol> ian going,1.0
free couple week,1.0
couple week alright,1.0
week alright </eol>,1.0
done family </eol>,1.0
matter done family,1.0
<eol> <eol> hah,1.0
older men anyone,1.0
never love fisherman,1.0
war mainly girl,1.0
gonna life </eol>,1.0
widow thirty three,1.0
thirty three happened,1.0
three happened woke,1.0
happened woke one,1.0
woke one day,1.0
one day husband,1.0
day husband idea,1.0
husband idea gonna,1.0
<eol> share room,1.0
idea gonna life,1.0
