,JANE
head minute,0.0
<eol> look ya,0.0
look ya mark,0.0
ya mark ya,0.0
mark ya think,0.0
ya think unlucky,0.0
think unlucky man,0.0
unlucky man </eol>,0.0
gonna get help,0.0
get help oh,0.0
help oh phone,0.0
oh phone oh,0.0
phone oh kevin,0.0
oh kevin kevin,0.0
kevin kevin smashed,0.0
kevin smashed ya,0.0
smashed ya kevin,0.0
ya kevin kevin,0.0
kevin kevin phone,0.0
kevin phone </eol>,0.0
<eol> <eol> ssh,0.0
soaked </eol>,0.0
load water,0.0
ssh shut </eol>,0.0
chuck load,0.0
broke glass,0.0
glass alright,0.0
alright clear,0.0
let one,0.0
one drink,0.0
drink okay,0.0
one together,0.0
together get,0.0
go lock,0.0
lock door,0.0
door know,0.0
hardly drunk,0.0
could harassment,0.0
harassment </eol>,0.0
need sorting,0.0
sorting one,0.0
one need,0.0
sorting need,0.0
<eol> ell,0.0
ell </eol>,0.0
thought chuck,0.0
<eol> ssh shut,0.0
<eol> <eol> fire,0.0
<eol> fine talking,0.0
carter 82 82b,0.0
82b george street,0.0
george street walford,0.0
street walford e20,0.0
walford e20 please,0.0
e20 please hurry,0.0
please hurry please,0.0
hurry please come,0.0
come quick </eol>,0.0
<eol> kevin kevin,0.0
kevin kevin </eol>,0.0
kevin </eol> </eol>,0.0
<eol> kevin gonna,0.0
kevin gonna go,0.0
gonna go main,0.0
go main road,0.0
main road </eol>,0.0
make sure know,0.0
sure know go,0.0
know go </eol>,0.0
<eol> kevin five,0.0
kevin five minute,0.0
82 82b george,0.0
shirley carter 82,0.0
<eol> fire brigade,0.0
quick shirley carter,0.0
fire brigade ambulance,0.0
brigade ambulance accident,0.0
ambulance accident industrial,0.0
accident industrial estate,0.0
industrial estate walford,0.0
estate walford um,0.0
walford um marsh,0.0
um marsh lane,0.0
marsh lane industrial,0.0
lane industrial estate,0.0
industrial estate please,0.0
estate please come,0.0
please come quick,0.0
come quick husband,0.0
quick husband husband,0.0
husband husband friend,0.0
husband friend trapped,0.0
friend trapped car,0.0
trapped car please,0.0
car please come,0.0
come quick shirley,0.0
car first place,0.0
<eol> pat said,0.0
pat said might,0.0
<eol> <eol> hit,0.0
hit could </eol>,0.0
<eol> want put,0.0
want put fist,0.0
put fist face,0.0
fist face see,0.0
face see </eol>,0.0
<eol> last thing,0.0
last thing kevin,0.0
thing kevin saw,0.0
kevin saw face,0.0
saw face loved,0.0
face loved wanted,0.0
loved wanted step,0.0
wanted step look,0.0
step look dean,0.0
look dean trusted,0.0
dean trusted cause,0.0
trusted cause knew,0.0
cause knew person,0.0
knew person earth,0.0
person earth side,0.0
<eol> hit could,0.0
front mind </eol>,0.0
side matter </eol>,0.0
right front mind,0.0
back true </eol>,0.0
<eol> promised dad,0.0
promised dad look,0.0
dad look </eol>,0.0
<eol> last wish,0.0
last wish dying,0.0
wish dying man,0.0
dying man </eol>,0.0
<eol> understand kevin,0.0
understand kevin </eol>,0.0
<eol> wanted look,0.0
wanted look gonna,0.0
look gonna plane,0.0
gonna plane ride,0.0
plane ride away,0.0
ride away </eol>,0.0
<eol> <eol> familiar,0.0
<eol> familiar list,0.0
familiar list thanks,0.0
list thanks right,0.0
thanks right front,0.0
earth side matter,0.0
<eol> end still,0.0
said might find,0.0
oh sorry hev,0.0
<eol> buy one,0.0
buy one case,0.0
one case </eol>,0.0
<eol> let think,0.0
let think oh,0.0
think oh yeah,0.0
oh yeah loaded,0.0
yeah loaded </eol>,0.0
<eol> got good,0.0
got good taste,0.0
good taste earring,0.0
taste earring else,0.0
earring else know,0.0
else know </eol>,0.0
<eol> <eol> spit,0.0
<eol> spit </eol>,0.0
<eol> dunno problem,0.0
dunno problem hell,0.0
problem hell bent,0.0
hell bent picking,0.0
bent picking fight,0.0
sorry hev </eol>,0.0
em water </eol>,0.0
end still ever,0.0
put em water,0.0
still ever come,0.0
come back giving,0.0
back giving </eol>,0.0
<eol> stuff peggy,0.0
stuff peggy </eol>,0.0
<eol> <eol> funeral,0.0
<eol> funeral flower,0.0
funeral flower thoughtful,0.0
flower thoughtful </eol>,0.0
thoughtful </eol> </eol>,0.0
<eol> seen fag,0.0
seen fag </eol>,0.0
fag </eol> </eol>,0.0
<eol> <eol> hev,0.0
<eol> hev </eol>,0.0
hev </eol> </eol>,0.0
<eol> matter want,0.0
matter want coffee,0.0
want coffee </eol>,0.0
coffee </eol> </eol>,0.0
<eol> put em,0.0
coming back true,0.0
planning coming back,0.0
say planning coming,0.0
<eol> going reading,0.0
reading today </eol>,0.0
<eol> pat read,0.0
pat read </eol>,0.0
read </eol> </eol>,0.0
<eol> sorry sorry,0.0
sorry sorry though,0.0
sorry though </eol>,0.0
<eol> cause daughter,0.0
cause daughter ever,0.0
daughter ever snuffed,0.0
ever snuffed want,0.0
snuffed want people,0.0
want people closest,0.0
people closest saying,0.0
closest saying piece,0.0
saying piece </eol>,0.0
piece </eol> </eol>,0.0
really know get,0.0
know get knife,0.0
get knife rib,0.0
knife rib carly,0.0
going reading today,0.0
carly say </eol>,0.0
libby say planning,0.0
come carly say,0.0
might find heard,0.0
find heard brother,0.0
heard brother </eol>,0.0
thought might got,0.0
might got word,0.0
got word arriving,0.0
word arriving </eol>,0.0
arriving </eol> </eol>,0.0
<eol> look carly,0.0
look carly let,0.0
carly let look,0.0
let look today,0.0
look today </eol>,0.0
<eol> bacon roll,0.0
bacon roll treat,0.0
roll treat even,0.0
treat even throw,0.0
even throw cup,0.0
throw cup tea,0.0
cup tea come,0.0
tea come carly,0.0
rib carly difficult,0.0
carly difficult day,0.0
difficult day </eol>,0.0
yeah really thought,0.0
pot kettle phil,0.0
kettle phil suit,0.0
phil suit </eol>,0.0
<eol> one notice,0.0
one notice cause,0.0
notice cause count,0.0
cause count </eol>,0.0
<eol> <eol> loved,0.0
<eol> loved first,0.0
loved first loved,0.0
first loved </eol>,0.0
<eol> really need,0.0
really need cuff,0.0
need cuff father,0.0
cuff father funeral,0.0
father funeral </eol>,0.0
<eol> carly know,0.0
carly know </eol>,0.0
<eol> carly carly,0.0
carly carly </eol>,0.0
<eol> libby say,0.0
playing pot kettle,0.0
go playing pot,0.0
<eol> go playing,0.0
anything cause one,0.0
really thought lot,0.0
thought lot dad,0.0
lot dad </eol>,0.0
<eol> <eol> dean,0.0
<eol> dean shown,0.0
dean shown yet,0.0
shown yet </eol>,0.0
<eol> sure anything,0.0
sure anything cause,0.0
cause one saw,0.0
away need </eol>,0.0
one saw fit,0.0
saw fit include,0.0
fit include arrangement,0.0
include arrangement </eol>,0.0
arrangement </eol> </eol>,0.0
<eol> told hev,0.0
told hev stay,0.0
hev stay away,0.0
stay away need,0.0
look broke,0.0
raynor </eol>,0.0
clare raynor,0.0
week want,0.0
welcome home,0.0
home wanted,0.0
wanted hold,0.0
hold push,0.0
look different,0.0
different dean,0.0
dean older,0.0
older </eol>,0.0
<eol> brought,0.0
brought tart,0.0
tart back,0.0
go near,0.0
near kill,0.0
minty flat,0.0
flat like,0.0
like shot,0.0
shot let,0.0
let stay,0.0
stay course,0.0
hev listen,0.0
listen garry,0.0
want welcome,0.0
every week,0.0
coming matter,0.0
wage every,0.0
dean ya,0.0
went meet,0.0
meet said,0.0
said midday,0.0
midday </eol>,0.0
get hug,0.0
hug first,0.0
nothing nick,0.0
nick </eol>,0.0
got carly,0.0
carly rich,0.0
rich enough,0.0
u said,0.0
said look,0.0
put give,0.0
money whatever,0.0
look saving,0.0
saving dean,0.0
dean told,0.0
told half,0.0
half wage,0.0
minty coming,0.0
matter say,0.0
whatever ya,0.0
singing song,0.0
mate co,0.0
co eh,0.0
eh let,0.0
let buy,0.0
buy coffee,0.0
two coffee,0.0
please emin,0.0
emin </eol>,0.0
worst yet,0.0
yet clubbing,0.0
clubbing good,0.0
great feel,0.0
<eol> emin,0.0
emin bet,0.0
bet good,0.0
boy bet,0.0
boy mum,0.0
mum respectful,0.0
respectful bet,0.0
bet mum,0.0
mum love,0.0
song mate,0.0
oh singing,0.0
say stick,0.0
hear answer,0.0
stick gun,0.0
gun deal,0.0
<eol> peggy,0.0
peggy got,0.0
got beer,0.0
beer </eol>,0.0
go shall,0.0
shall way,0.0
way sorry,0.0
sorry peggy,0.0
sit quietly,0.0
quietly want,0.0
sure sean,0.0
sean follow,0.0
dean hell,0.0
flat fix,0.0
fix something,0.0
eat whatever,0.0
changed help,0.0
someone bloke,0.0
bloke want,0.0
something dean,0.0
back something,0.0
see hev,0.0
wanted gonna,0.0
even kevin,0.0
kevin gone,0.0
<eol> gold,0.0
gold thanks,0.0
thanks hev,0.0
hev knew,0.0
knew understand,0.0
understand come,0.0
come help,0.0
help pack,0.0
two spare,0.0
spare room,0.0
room make,0.0
sense two,0.0
two going,0.0
going win,0.0
competition even,0.0
even look,0.0
like couple,0.0
tell magazine,0.0
magazine people,0.0
need even,0.0
mum always,0.0
gonna wish,0.0
chance mum,0.0
say dean,0.0
dean wanted,0.0
wanted chill,0.0
chill lager,0.0
lager watching,0.0
watching late,0.0
late night,0.0
night tv,0.0
tv gonna,0.0
gonna work,0.0
look worry,0.0
worry got,0.0
worked temporary,0.0
temporary dean,0.0
dean gonna,0.0
want live,0.0
mum long,0.0
long either,0.0
either wanna,0.0
know hev,0.0
hev second,0.0
far still,0.0
still concerned,0.0
concerned still,0.0
still hazel,0.0
feel find,0.0
find co,0.0
go make,0.0
thing better,0.0
better late,0.0
told ya,0.0
ya find,0.0
find ya,0.0
ya place,0.0
place stay,0.0
yeah left,0.0
left though,0.0
though squatter,0.0
squatter right,0.0
<eol> unpack,0.0
unpack bag,0.0
worrying look,0.0
gotta dash,0.0
dash dean,0.0
coming midday,0.0
midday gonna,0.0
ask know,0.0
find ask,0.0
call make,0.0
make look,0.0
wanna find,0.0
first tell,0.0
tell listen,0.0
listen time,0.0
time co,0.0
co trying,0.0
hazel told,0.0
told garry,0.0
garry make,0.0
like villain,0.0
port call,0.0
villain blame,0.0
blame mean,0.0
mean still,0.0
still care,0.0
care minty,0.0
heather carried,0.0
carried competition,0.0
something two,0.0
first port,0.0
love whatever,0.0
ya make,0.0
going clare,0.0
start snooping,0.0
play along,0.0
waiting make,0.0
make honest,0.0
honest woman,0.0
alright surprised,0.0
surprised assumption,0.0
assumption people,0.0
people make,0.0
<eol> bright,0.0
bright blimey,0.0
blimey get,0.0
get co,0.0
co </eol>,0.0
dad know,0.0
home lunch,0.0
okay ben,0.0
well walk,0.0
walk face,0.0
face like,0.0
well dad,0.0
meaning want,0.0
snooping play,0.0
magazine start,0.0
kid shame,0.0
anybody magazine,0.0
shoving crisp,0.0
sock yeah,0.0
yeah heather,0.0
heather trying,0.0
<eol> cry,0.0
cry loud,0.0
loud like,0.0
married win,0.0
competition get,0.0
get twenty,0.0
twenty thousand,0.0
thousand pound,0.0
pound minty,0.0
minty go,0.0
go plastic,0.0
plastic surgery,0.0
surgery live,0.0
live happily,0.0
happily ever,0.0
ever together,0.0
together anybody,0.0
help time,0.0
shame </eol>,0.0
make irish,0.0
leave waiting,0.0
<eol> bottling,0.0
bottling cleaning,0.0
cleaning yeah,0.0
said alcoholic,0.0
alcoholic look,0.0
got cold,0.0
cold took,0.0
took tablet,0.0
tablet kicked,0.0
kicked fine,0.0
like rock,0.0
rock like,0.0
like great,0.0
great big,0.0
big rock,0.0
rock </eol>,0.0
thought take,0.0
take juggling,0.0
juggling think,0.0
wanna kiss,0.0
kiss better,0.0
waiting outside,0.0
work leave,0.0
<eol> ooohs,0.0
turn work,0.0
ooohs offer,0.0
offer girl,0.0
girl hear,0.0
hear every,0.0
<eol> filling,0.0
filling helping,0.0
helping ben,0.0
hell know,0.0
think cupid,0.0
cupid would,0.0
turn wearing,0.0
wearing spec,0.0
spec hearing,0.0
hearing aid,0.0
aid </eol>,0.0
asked u,0.0
u locked,0.0
locked u,0.0
u work,0.0
phil set,0.0
set </eol>,0.0
stop shoving,0.0
announcement </eol>,0.0
stay competition,0.0
puke </eol>,0.0
keep coming,0.0
coming save,0.0
save chat,0.0
chat punter,0.0
punter alright,0.0
well double,0.0
double vodka,0.0
vodka case,0.0
case forgotten,0.0
forgotten </eol>,0.0
worry coming,0.0
well happen,0.0
happen pub,0.0
pub got,0.0
problem ya,0.0
ya cheer,0.0
cheer ronnie,0.0
ronnie stick,0.0
stick tab,0.0
tab </eol>,0.0
look rough,0.0
look keep,0.0
gonna puke,0.0
mate favour,0.0
excuse think,0.0
irish oh,0.0
come lucky,0.0
lucky night,0.0
gonna kick,0.0
kick head,0.0
give go,0.0
home trouble,0.0
want tip,0.0
tip well,0.0
back place,0.0
place way,0.0
dead probably,0.0
probably even,0.0
<eol> flatter,0.0
flatter time,0.0
notice hangover,0.0
hangover favour,0.0
favour go,0.0
get contact,0.0
contact pas,0.0
pas excuse,0.0
rough yeah,0.0
yeah better,0.0
<eol> shift,0.0
shift </eol>,0.0
el bloke,0.0
bloke sayanora,0.0
sayanora twenty,0.0
one talking,0.0
talking never,0.0
never giving,0.0
right lot,0.0
lot twoo,0.0
twoo clock,0.0
clock heather,0.0
heather gonna,0.0
make announcement,0.0
announcement spread,0.0
spread word,0.0
word even,0.0
throw crisp,0.0
crisp house,0.0
start shift,0.0
shift early,0.0
thought minty,0.0
minty mate,0.0
somebody el,0.0
trott somebody,0.0
hobbs heather,0.0
make worse,0.0
lost son,0.0
got know,0.0
know anymore,0.0
phil yo,0.0
yo wanna,0.0
idea gropathon,0.0
gropathon charlie,0.0
<eol> dream,0.0
dream competition,0.0
told mental,0.0
magazine say,0.0
could least,0.0
least tried,0.0
tried come,0.0
come something,0.0
face fact,0.0
hang minuite,0.0
minuite minty,0.0
minty take,0.0
person ring,0.0
alright everything sorted,0.0
worry thing alright,0.0
evening </eol>,0.0
well still got,0.0
got c mere,0.0
c mere </eol>,0.0
mere </eol> </eol>,0.0
<eol> <eol> shoot,0.0
<eol> shoot okay,0.0
shoot okay </eol>,0.0
<eol> wait </eol>,0.0
<eol> care gonna,0.0
care gonna say,0.0
gonna say anyway,0.0
say anyway </eol>,0.0
<eol> want hurt,0.0
want hurt okay,0.0
hurt okay reason,0.0
okay reason come,0.0
reason come straight,0.0
come straight </eol>,0.0
<eol> stacey swore,0.0
stacey swore finished,0.0
swore finished max,0.0
finished max age,0.0
still got c,0.0
battery maybe </eol>,0.0
age wedding true,0.0
dunno battery maybe,0.0
like dunno felt,0.0
dunno felt straightforward,0.0
felt straightforward like,0.0
straightforward like job,0.0
like job felt,0.0
job felt like,0.0
felt like nothing,0.0
like nothing </eol>,0.0
<eol> nothing good,0.0
nothing good cause,0.0
good cause going,0.0
cause going kill,0.0
going kill someone,0.0
kill someone best,0.0
someone best dead,0.0
best dead inside,0.0
dead inside year,0.0
inside year dead,0.0
year dead breathing,0.0
dead breathing </eol>,0.0
<eol> dunno battery,0.0
max age wedding,0.0
wedding true know,0.0
sting bit </eol>,0.0
<eol> ahhh mummy,0.0
mummy look </eol>,0.0
<eol> <eol> party,0.0
<eol> party starting,0.0
party starting well,0.0
starting well know,0.0
well know deano,0.0
know deano go,0.0
deano go way,0.0
go way back,0.0
way back gotta,0.0
back gotta make,0.0
gotta make sure,0.0
<eol> hey trouble,0.0
hey trouble peggy,0.0
trouble peggy nice,0.0
peggy nice quiet,0.0
nice quiet beer,0.0
quiet beer promise,0.0
beer promise </eol>,0.0
gonna tell deano,0.0
tell deano hard,0.0
ahhh mummy look,0.0
<eol> <eol> ahhh,0.0
true know stace,0.0
majesty </eol> </eol>,0.0
know stace </eol>,0.0
<eol> made big,0.0
made big mistake,0.0
<eol> look thought,0.0
look thought best,0.0
thought best round,0.0
best round honestly,0.0
round honestly punish,0.0
honestly punish </eol>,0.0
punish </eol> </eol>,0.0
<eol> different different,0.0
different different </eol>,0.0
know feel </eol>,0.0
<eol> care </eol>,0.0
<eol> still wearing,0.0
still wearing lovely,0.0
wearing lovely ankle,0.0
lovely ankle bracelet,0.0
ankle bracelet courtesy,0.0
bracelet courtesy majesty,0.0
courtesy majesty </eol>,0.0
felt like dunno,0.0
gonna sting bit,0.0
bottle spill </eol>,0.0
seat taken </eol>,0.0
think someone </eol>,0.0
<eol> mean place,0.0
mean place locked,0.0
place locked </eol>,0.0
locked </eol> </eol>,0.0
<eol> changed lock,0.0
changed lock </eol>,0.0
lock </eol> </eol>,0.0
look gonna let,0.0
gonna let take,0.0
let take house,0.0
take house </eol>,0.0
let take kid,0.0
gonna make fool,0.0
make fool </eol>,0.0
fool </eol> </eol>,0.0
<eol> <eol> strong,0.0
<eol> strong enough,0.0
strong enough </eol>,0.0
<eol> got take,0.0
got take stace,0.0
<eol> think someone,0.0
<eol> seat taken,0.0
stace </eol> </eol>,0.0
<eol> <eol> seat,0.0
<eol> anyway see,0.0
anyway see tomorrow,0.0
<eol> <eol> beautiful,0.0
<eol> beautiful </eol>,0.0
beautiful </eol> </eol>,0.0
going anywhere </eol>,0.0
<eol> hungry want,0.0
hungry want wake,0.0
want wake </eol>,0.0
wake </eol> </eol>,0.0
<eol> good appetite,0.0
good appetite mum,0.0
appetite mum would,0.0
mum would call,0.0
would call proper,0.0
call proper little,0.0
proper little trencherman,0.0
little trencherman </eol>,0.0
trencherman </eol> </eol>,0.0
<eol> idea </eol>,0.0
still get </eol>,0.0
take stace </eol>,0.0
<eol> saying come,0.0
sa80 gonna sting,0.0
<eol> got kinky,0.0
kinky side know,0.0
side know </eol>,0.0
<eol> wondering </eol>,0.0
<eol> much say,0.0
much say </eol>,0.0
<eol> <eol> painful,0.0
<eol> painful nah,0.0
painful nah liked,0.0
nah liked world,0.0
liked world made,0.0
world made sense,0.0
made sense </eol>,0.0
<eol> <eol> job,0.0
<eol> job pop,0.0
job pop pop,0.0
pop pop </eol>,0.0
pop </eol> </eol>,0.0
<eol> get shot,0.0
get shot head,0.0
shot head sa80,0.0
head sa80 gonna,0.0
got kinky side,0.0
using </eol> </eol>,0.0
saying come round,0.0
<eol> using </eol>,0.0
come round flat,0.0
round flat </eol>,0.0
<eol> <eol> mess,0.0
<eol> mess </eol>,0.0
<eol> know attracted,0.0
know attracted older,0.0
attracted older woman,0.0
older woman ever,0.0
woman ever told,0.0
ever told much,0.0
told much fancy,0.0
much fancy </eol>,0.0
<eol> nah pretty,0.0
nah pretty stupid,0.0
pretty stupid </eol>,0.0
<eol> <eol> biscuit,0.0
<eol> biscuit </eol>,0.0
<eol> know washere,0.0
know washere </eol>,0.0
washere </eol> </eol>,0.0
<eol> <eol> using,0.0
deano hard feeling,0.0
<eol> gonna kill,0.0
need get front,0.0
stacey need carrying,0.0
carrying </eol> </eol>,0.0
<eol> know charlie,0.0
know charlie club,0.0
charlie club keeled,0.0
club keeled </eol>,0.0
keeled </eol> </eol>,0.0
look know many,0.0
know many way,0.0
many way say,0.0
way say mo,0.0
say mo know,0.0
mo know </eol>,0.0
<eol> got ear,0.0
got ear charlie,0.0
ear charlie </eol>,0.0
charlie </eol> </eol>,0.0
<eol> back helping,0.0
back helping </eol>,0.0
<eol> use head,0.0
use head take,0.0
head take something,0.0
need carrying </eol>,0.0
thing stacey need,0.0
something co pushed,0.0
last thing stacey,0.0
way putting </eol>,0.0
putting </eol> </eol>,0.0
<eol> gonna doctor,0.0
gonna doctor </eol>,0.0
doctor </eol> </eol>,0.0
<eol> <eol> dribble,0.0
<eol> dribble </eol>,0.0
dribble </eol> </eol>,0.0
<eol> <eol> grape,0.0
<eol> grape u,0.0
grape u favour,0.0
u favour stay,0.0
favour stay eh,0.0
stay eh mum,0.0
eh mum </eol>,0.0
<eol> <eol> useless,0.0
<eol> useless life,0.0
useless life pull,0.0
life pull together,0.0
pull together last,0.0
together last thing,0.0
take something co,0.0
co pushed </eol>,0.0
get front door,0.0
<eol> come coward,0.0
coward c mon,0.0
c mon </eol>,0.0
<eol> max </eol>,0.0
max </eol> </eol>,0.0
<eol> oi open,0.0
oi open </eol>,0.0
<eol> jack got,0.0
jack got somewhere,0.0
got somewhere </eol>,0.0
<eol> going happen,0.0
going happen </eol>,0.0
<eol> still deciding,0.0
still deciding </eol>,0.0
deciding </eol> </eol>,0.0
<eol> wondering going,0.0
wondering going get,0.0
going get round,0.0
get round mean,0.0
round mean even,0.0
mean even drained,0.0
even drained bottle,0.0
come coward c,0.0
hear dead </eol>,0.0
<eol> always scared,0.0
kill hear dead,0.0
always scared want,0.0
scared want know,0.0
want know minute,0.0
know minute hear,0.0
minute hear something,0.0
hear something think,0.0
something think </eol>,0.0
<eol> <eol> choice,0.0
<eol> choice got,0.0
choice got make,0.0
got make thing,0.0
dunno whatever take,0.0
whatever take </eol>,0.0
<eol> max open,0.0
max open max,0.0
open max get,0.0
max get get,0.0
get get branning,0.0
get branning </eol>,0.0
<eol> going kill,0.0
going kill hear,0.0
one way putting,0.0
<eol> one way,0.0
sorry sean </eol>,0.0
notice difference </eol>,0.0
<eol> nothing look,0.0
nothing look want,0.0
look want nice,0.0
want nice quiet,0.0
nice quiet drink,0.0
quiet drink please,0.0
drink please alone,0.0
please alone </eol>,0.0
<eol> oh lucky,0.0
oh lucky </eol>,0.0
<eol> co asked,0.0
co asked </eol>,0.0
asked </eol> </eol>,0.0
<eol> stacey stacey,0.0
stacey stacey hear,0.0
stacey hear </eol>,0.0
<eol> <eol> stepping,0.0
<eol> stepping anywhere,0.0
stepping anywhere </eol>,0.0
dunno one minute,0.0
one minute sitting,0.0
difference </eol> </eol>,0.0
like notice difference,0.0
<eol> sorry sean,0.0
<eol> like notice,0.0
front door fixed,0.0
door fixed deano,0.0
fixed deano </eol>,0.0
<eol> gone alright,0.0
gone alright well,0.0
alright well gone,0.0
well gone back,0.0
gone back </eol>,0.0
run away </eol>,0.0
<eol> right batter,0.0
right batter instead,0.0
batter instead </eol>,0.0
<eol> tell ever,0.0
tell ever come,0.0
ever come back,0.0
come back going,0.0
back going arm,0.0
going arm get,0.0
arm get tired,0.0
get tired </eol>,0.0
tired </eol> </eol>,0.0
minute sitting drink,0.0
sitting drink next,0.0
drink next minute,0.0
next minute floor,0.0
<eol> going happening,0.0
going happening </eol>,0.0
happening </eol> </eol>,0.0
<eol> get right,0.0
get right </eol>,0.0
<eol> <eol> awake,0.0
<eol> awake </eol>,0.0
awake </eol> </eol>,0.0
well get back,0.0
get back job,0.0
back job </eol>,0.0
<eol> take anything,0.0
take anything </eol>,0.0
<eol> <eol> c,0.0
<eol> c mon,0.0
c mon stupid,0.0
mon stupid thing,0.0
stupid thing got,0.0
thing got problem,0.0
got problem eh,0.0
problem eh </eol>,0.0
yeah brother </eol>,0.0
<eol> yeah brother,0.0
ventilator fall </eol>,0.0
made glass c,0.0
minute floor </eol>,0.0
<eol> <eol> staring,0.0
<eol> staring like,0.0
staring like </eol>,0.0
<eol> look eye,0.0
look eye look,0.0
eye look like,0.0
look like made,0.0
like made glass,0.0
glass c mon,0.0
mean ventilator fall,0.0
c mon right,0.0
mon right </eol>,0.0
<eol> stop staring,0.0
stop staring like,0.0
staring like stacey,0.0
like stacey stace,0.0
stacey stace taking,0.0
stace taking </eol>,0.0
<eol> mean ventilator,0.0
pretty much </eol>,0.0
happened pretty much,0.0
ever happened pretty,0.0
max satisfaction,0.0
seeing got,0.0
forget stace,0.0
stace made,0.0
made choice,0.0
choice problem,0.0
<eol> careful,0.0
careful stace,0.0
stace remember,0.0
remember last,0.0
last set,0.0
set secret,0.0
secret got,0.0
turn sneak,0.0
sneak meet,0.0
meet hotel,0.0
hotel make,0.0
sure get,0.0
realise going,0.0
going sit,0.0
sit talk,0.0
laugh joke,0.0
satisfaction seeing,0.0
want max,0.0
kid gotta,0.0
maybe want,0.0
kid come,0.0
come enough,0.0
care manage,0.0
manage let,0.0
yeah hear,0.0
hear thanks,0.0
made mind,0.0
nothing say,0.0
gonna change,0.0
<eol> deserves,0.0
deserves whatever,0.0
whatever coming,0.0
max move,0.0
need dragging,0.0
dragging </eol>,0.0
call alright,0.0
<eol> visiting,0.0
visiting </eol>,0.0
think lying,0.0
well believe,0.0
like stace,0.0
joke kid,0.0
make think,0.0
mean told,0.0
potato head,0.0
er seeing,0.0
seeing design,0.0
design local,0.0
local supermarket,0.0
well would,0.0
would meant,0.0
meant working,0.0
working bunch,0.0
bunch lentil,0.0
lentil muncher,0.0
muncher anyway,0.0
ok cool,0.0
cool want,0.0
keeping agreement,0.0
thought said,0.0
gonna age,0.0
taking mick,0.0
mick </eol>,0.0
gonna ask,0.0
know max,0.0
max happy,0.0
head working,0.0
mr potato,0.0
think everything,0.0
think mr,0.0
normal feel,0.0
feel breath,0.0
breath neck,0.0
neck knowing,0.0
knowing want,0.0
want let,0.0
let back,0.0
bed tan,0.0
gonna enjoy,0.0
enjoy getting,0.0
getting revenge,0.0
revenge </eol>,0.0
hey alright,0.0
alright popped,0.0
popped wish,0.0
wish luck,0.0
er really,0.0
get course,0.0
course thing,0.0
chance escape,0.0
escape miss,0.0
losing kid,0.0
money losing,0.0
need money,0.0
max day,0.0
put ground,0.0
ground walk,0.0
walk way,0.0
reason know,0.0
minute back,0.0
back door,0.0
back old,0.0
old self,0.0
self lying,0.0
cheating disposable,0.0
disposable </eol>,0.0
know sneezed,0.0
sneezed </eol>,0.0
<eol> marge,0.0
marge need,0.0
need tissue,0.0
tissue said,0.0
said abi,0.0
abi stop,0.0
stop worrying,0.0
worrying </eol>,0.0
day put,0.0
well max,0.0
tanya need,0.0
teacher something,0.0
yeah making,0.0
making em,0.0
em sound,0.0
like category,0.0
category prisoner,0.0
prisoner </eol>,0.0
got number,0.0
number problem,0.0
problem call,0.0
<eol> change,0.0
change oscar,0.0
oscar ye,0.0
ye e,0.0
e girl,0.0
girl bed,0.0
bed dinner,0.0
dinner oven,0.0
oven thought,0.0
thought run,0.0
run geography,0.0
geography teacher,0.0
know dr,0.0
dr dolittle,0.0
dolittle </eol>,0.0
said sleeping,0.0
swallowed bait,0.0
bait </eol>,0.0
well hook,0.0
hook line,0.0
line sinker,0.0
sinker well,0.0
expect sit,0.0
sit piece,0.0
piece scum,0.0
scum run,0.0
run hand,0.0
hand sorry,0.0
sorry tan,0.0
tan like,0.0
back gloating,0.0
gloating face,0.0
try crawl,0.0
crawl back,0.0
bed eh,0.0
gonna headache,0.0
headache long,0.0
<eol> swallowed,0.0
nothing changed,0.0
tanya nothing,0.0
want living,0.0
sleeping couch,0.0
think believed,0.0
believed </eol>,0.0
care whether,0.0
whether little,0.0
little plan,0.0
plan work,0.0
work make,0.0
make difference,0.0
living alright,0.0
want mate,0.0
nice cosy,0.0
cosy </eol>,0.0
gonna move,0.0
sorry tanya,0.0
actually stay,0.0
<eol> complaining,0.0
complaining giving,0.0
giving </eol>,0.0
really even,0.0
family heard,0.0
told whopper,0.0
nothing ever happened,0.0
anything got,0.0
ticket let,0.0
come please,0.0
thinking night,0.0
night sleep,0.0
sleep maybe,0.0
maybe calmed,0.0
calmed bit,0.0
tell thinking,0.0
idea mad,0.0
tanya matter,0.0
matter bad,0.0
bad get,0.0
get matter,0.0
matter much,0.0
much want,0.0
max gone,0.0
got ya,0.0
okay max,0.0
max dead,0.0
dead lauren,0.0
lauren abi,0.0
got ticket,0.0
change anything,0.0
piece police,0.0
knew get,0.0
thing alright,0.0
alright everything,0.0
everything sorted,0.0
sorted got,0.0
got flight,0.0
flight booked,0.0
booked checked,0.0
checked got,0.0
got champagne,0.0
champagne ice,0.0
ice take,0.0
take tomorrow,0.0
tomorrow style,0.0
style stress,0.0
stress alright,0.0
<eol> internet,0.0
internet day,0.0
found great,0.0
great school,0.0
school girl,0.0
girl gonna,0.0
abi piece,0.0
police start,0.0
whopper time,0.0
heated curler overnight,0.0
overnight </eol> </eol>,0.0
<eol> <eol> designer,0.0
<eol> designer charge,0.0
designer charge fortune,0.0
charge fortune come,0.0
fortune come look,0.0
come look </eol>,0.0
