hyperparameter,FAKE precision,FAKE recall,FAKE f1-score,REAL precision,REAL recall,REAL f1-score,accuracy,macro avg precision,macro avg recall,macro avg f1-score,weighted avg precision,weighted avg recall,weighted avg f1-score
{'Types_Per_Tokens': True},0.4983333485960487,0.4974756809663575,0.4975028377014288,0.6135417551548463,0.6144987301626235,0.6137177127775886,0.5635167607833714,0.5559375518754476,0.5559872055644904,0.5556102752395087,0.5641689513275095,0.5635167607833714,0.5634945413735986
{'Types_Per_Tokens': False},0.49619297098163123,0.49613336514573136,0.4957179531593753,0.6121728210616231,0.6124067363672793,0.6119562265262359,0.5616886939805359,0.5541828960216272,0.5542700507565053,0.5538370898428056,0.5624765872574686,0.5616886939805359,0.5616979567290694
{'Sentiment': True},0.49701538715528837,0.4972059949830136,0.496668824362356,0.6128779796708336,0.6128629033265213,0.612539261519694,0.5624204012976091,0.554946683413061,0.5550344491547674,0.5546040429410249,0.5632361334815378,0.5624204012976091,0.562446254520626
{'Sentiment': False},0.49619297098163123,0.49613336514573136,0.4957179531593753,0.6121728210616231,0.6124067363672793,0.6119562265262359,0.5616886939805359,0.5541828960216272,0.5542700507565053,0.5538370898428056,0.5624765872574686,0.5616886939805359,0.5616979567290694
{'Mutual_Information': 'all'},0.49632889848696166,0.49638846718654767,0.495923902643179,0.6122899719519699,0.6124067363672793,0.612022280214674,0.5618106452000481,0.5543094352194657,0.5543976017769134,0.5539730914289265,0.5626027142857101,0.5618106452000481,0.5618308874318774
{'Mutual_Information': 1000},0.4912755973130879,0.09713366918618108,0.1612092431975998,0.5701203246539266,0.9211549689406062,0.7039523023576594,0.5625051063318515,0.5306979609835072,0.5091443190633937,0.4325807727776295,0.5370567362971777,0.5625051063318515,0.4680521170627203
{'Mutual_Information': 4000},0.5203910087841508,0.35677221986140445,0.4225543884292942,0.6012636261361953,0.746324946887127,0.6655924257250603,0.5768058392406583,0.560827317460173,0.5515485833742657,0.5440734070771772,0.5669497276359347,0.5768058392406583,0.5602377261862793
{'SVC_HP': {'loss': 'hinge'}},0.5060255165789838,0.4965358252278592,0.5005736173471811,0.6180477605061386,0.6270434241486255,0.6220456828564408,0.5699825783972126,0.5620366385425613,0.5617896246882425,0.561309650101811,0.5700912390588524,0.5699825783972126,0.5694417785725792
{'SVC_HP': {'C': 0.2}},0.5173621922656791,0.4950486941561965,0.5054785253053367,0.6233387345944028,0.6440500375059277,0.6331791186508574,0.5791433377387961,0.570350463430041,0.5695493658310622,0.569328821978097,0.5779492349982838,0.5791433377387961,0.5779331059363597
{'SVC_HP': {'C': 0.4}},0.507920646054276,0.49489448654212675,0.5008744449703586,0.6184821100606108,0.6307504784854799,0.6242281482905747,0.5715787576594977,0.5632013780574435,0.5628224825138033,0.5625512966304667,0.5711249001250358,0.5715787576594977,0.5708961946088854
{'SVC_HP': {'C': 0.8}},0.5005410377549905,0.49977324677090706,0.4997429295082902,0.61533014759743,0.6162384426501686,0.6154744348819988,0.5654775922143458,0.5579355926762103,0.5580058447105379,0.5576086821951445,0.5661417840821402,0.5654775922143458,0.5654518736731303
{'SVC_HP': {'C': 1.6}},0.4922682167996588,0.49517608495422655,0.4932632695041918,0.609509782590853,0.6068350141435317,0.6078287469642477,0.5581412952060555,0.550888999695256,0.5510055495488791,0.5505460082342198,0.5592762581732441,0.5581412952060555,0.5583119520455312
